Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
219,2018,1,102302,2021,1,488,0,NULL,3,3,0,1,8.15,3,2,0,0.6667,4.89,6,5,0,0.8333,6.52,0
211,2019,1,102302,2021,1,335,0,NULL,5,5,0,1,8.3,4,4,0,1,9.23,9,9,0,1,8.76,0
206,2018,1,102301,2022,1,336,0,NULL,3,3,0,1,9.23,2,2,0,1,9.51,5,5,0,1,9.37,0
109,2022,1,102301,2023,1,153,0,NULL,4,3,0,0.75,5.79,2,0,1,0,2.58,6,3,1,0.5,4.18,0
702,2024,1,102302,2024,1,281,0,NULL,4,2,0,0.5,4.38,5,5,0,1,6.55,9,7,0,0.7778,5.47,0
403,2019,1,102301,2020,1,152,0,NULL,5,4,0,0.8,5.79,5,3,2,0.6,6.12,10,7,2,0.7,5.96,0
108,2017,1,102301,2020,1,241,0,NULL,5,3,1,0.6,5.53,2,0,2,0,5.2,7,3,3,0.4286,5.36,0
104,2017,1,102301,2020,1,488,0,NULL,4,4,0,1,8.06,4,2,1,0.5,4.69,8,6,1,0.75,6.37,0
109,2017,1,102301,2020,1,279,0,NULL,4,2,2,0.5,7.37,5,0,0,0,0,9,2,2,0.2222,3.68,1
105,2017,1,102301,2020,1,153,0,NULL,4,3,1,0.75,7.19,4,3,0,0.75,5.56,8,6,1,0.75,6.38,0
105,2017,1,102301,2020,1,196,0,NULL,4,4,0,1,7.36,5,4,0,0.8,5.96,9,8,0,0.8889,6.66,0
413,2016,1,102302,2020,1,227,0,NULL,5,5,0,1,8.32,3,3,0,1,8.02,8,8,0,1,8.17,0
211,2019,1,102302,2020,1,23,0,NULL,3,1,2,0.3333,6.44,2,2,0,1,8.45,5,3,2,0.6,7.44,0
109,2017,1,102301,2020,1,571,0,NULL,5,4,0,0.8,5.93,5,3,0,0.6,4.64,10,7,0,0.7,5.29,0
