Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,Deserto
301,2016,1,102301,2016,1,489,0,NULL,5,0,4,0,2.88,4,4,0,1,6.97,9,4,4,0.4444,4.92,0
104,2009,1,102301,2016,1,259,0,NULL,5,5,0,1,8.4,5,0,0,0,3.32,10,5,0,0.5,5.86,1
209,2014,1,102301,2016,1,153,0,NULL,5,5,0,1,8.46,4,4,0,1,7.98,9,9,0,1,8.22,0
102,2009,1,102301,2016,1,178,0,NULL,5,3,1,0.6,6,5,0,4,0,4.12,10,3,5,0.3,5.06,1
702,2014,1,102301,2016,1,496,0,NULL,5,2,0,0.4,4.77,4,3,1,0.75,6.68,9,5,1,0.5556,5.73,0
109,2014,1,102302,2016,1,165,0,NULL,5,2,1,0.4,4.79,3,0,0,0,0.13,8,2,1,0.25,2.46,0
104,2017,1,102302,2016,1,227,0,NULL,5,1,4,0.2,3.86,3,0,1,0,3,8,1,5,0.125,3.43,0
403,2015,1,102301,2016,1,188,0,NULL,4,4,0,1,7.49,3,3,0,1,7.06,7,7,0,1,7.27,0
218,2013,1,102302,2016,1,245,0,NULL,4,4,0,1,8.46,2,2,0,1,8.97,6,6,0,1,8.71,0
701,2013,1,102301,2016,1,363,0,NULL,6,6,0,1,8.58,6,6,0,1,8.9,12,12,0,1,8.74,1
403,2015,1,102301,2016,1,18,0,NULL,5,4,1,0.8,7.7,4,4,0,1,7.14,9,8,1,0.8889,7.42,0
203,2016,1,102301,2016,1,539,0,NULL,5,5,0,1,8.08,4,4,0,1,8.2,9,9,0,1,8.14,0
702,2014,1,102302,2017,1,392,1,100,5,4,0,0.8,6.75,5,3,2,0.6,6.97,10,7,2,0.7,6.86,0
301,2017,1,102301,2017,1,571,0,NULL,4,2,1,0.5,5.12,4,4,0,1,7.15,8,6,1,0.75,6.13,0
109,2017,1,102301,2017,1,254,0,NULL,4,4,0,1,6.91,4,2,2,0.5,5.72,8,6,2,0.75,6.31,0
302,2017,1,102301,2017,1,476,0,NULL,4,2,1,0.5,5.42,5,3,0,0.6,4.46,9,5,1,0.5556,4.94,0
106,2017,1,102302,2017,1,285,0,NULL,4,3,0,0.75,6.39,4,2,1,0.5,5.23,8,5,1,0.625,5.81,0
401,2015,1,102301,2017,1,245,0,NULL,5,3,1,0.6,4.85,4,3,1,0.75,6.64,9,6,2,0.6667,5.74,1
301,2016,1,102302,2017,1,309,0,NULL,5,5,0,1,8.3,5,4,0,0.8,7.13,10,9,0,0.9,7.71,0
403,2015,1,102301,2017,1,285,0,NULL,5,5,0,1,7.45,5,4,1,0.8,7.63,10,9,1,0.9,7.54,0
403,2015,1,102301,2017,1,285,0,NULL,5,5,0,1,7.11,4,3,0,0.75,5.53,9,8,0,0.8889,6.32,0
413,2016,1,102302,2017,1,227,0,NULL,5,5,0,1,7.93,4,4,0,1,7.62,9,9,0,1,7.77,0
109,2017,1,102301,2017,1,228,0,NULL,4,2,0,0.5,4.13,4,2,0,0.5,3.65,8,4,0,0.5,3.89,0
219,2013,1,102302,2017,1,18,0,NULL,3,3,0,1,7.14,3,0,3,0,0,6,3,3,0.5,3.57,1
218,2013,1,102302,2017,1,246,0,NULL,3,2,1,0.6667,7,4,4,0,1,8.83,7,6,1,0.8571,7.91,0
701,2013,1,102301,2017,1,664,0,NULL,6,5,0,0.8333,6.4,6,6,0,1,8.08,12,11,0,0.9167,7.24,0
103,2017,1,102301,2017,1,285,0,NULL,4,2,0,0.5,3.44,3,2,1,0.6667,7.12,7,4,1,0.5714,5.28,0
444,2009,1,102301,2017,1,152,0,NULL,7,4,3,0.5714,5.91,4,2,2,0.5,6.03,11,6,5,0.5455,5.97,1
218,2013,1,102301,2017,1,305,0,NULL,3,3,0,1,8.71,3,1,2,0.3333,6.46,6,4,2,0.6667,7.59,1
441,2009,1,102301,2017,1,152,0,NULL,6,6,0,1,7.53,5,5,0,1,8.06,11,11,0,1,7.8,0
202,2016,1,102302,2018,1,201,0,NULL,5,4,0,0.8,5.86,4,3,1,0.75,6.71,9,7,1,0.7778,6.28,0
